unique_reference_number,authority_code,establishment_type_code,pupil_number,pupil_boys,pupil_girls,gender_type,gender_category,religious_type,religious_classification,percent_pupil_boys,percent_pupil_girls,percent_ehc_plan,percent_sen_support,percent_english_language,percent_not_english_language,percent_free_school_meals,rating
100000,201,2,271,144,127,3,Mixed,1,Church of England,53,46,3,21,46,53,21,Outstanding
100005,202,15,136,75,61,3,Mixed,2,Not applicable,55,44,1,16,72,27,0,Outstanding
100008,202,1,350,165,185,3,Mixed,2,Not applicable,47,52,3,17,12,87,56,Good
100009,202,1,389,203,186,3,Mixed,2,Not applicable,52,47,2,15,47,53,45,Good
100010,202,1,338,179,159,3,Mixed,2,Not applicable,53,47,3,19,40,59,64,Good
100011,202,1,394,194,200,3,Mixed,2,Not applicable,49,50,1,13,84,15,31,Good
100013,202,1,200,103,97,3,Mixed,2,Not applicable,51,48,3,23,9,90,55,Outstanding
100014,202,1,228,126,102,3,Mixed,2,Not applicable,55,44,2,16,49,50,48,Good
100015,202,1,225,129,96,3,Mixed,2,Not applicable,57,42,2,18,37,62,42,Good
100018,202,1,393,203,190,3,Mixed,2,Not applicable,51,48,10,21,35,64,63,Good
100019,202,1,355,182,173,3,Mixed,2,Not applicable,51,48,0,10,29,70,22,Good
100020,202,1,457,223,234,3,Mixed,2,Not applicable,48,51,4,17,39,60,38,Good
100021,202,1,421,214,207,3,Mixed,2,Not applicable,50,49,3,26,21,78,57,Good
100022,202,1,411,199,212,3,Mixed,2,Not applicable,48,51,2,17,7,92,57,Outstanding
100023,202,1,450,231,219,3,Mixed,2,Not applicable,51,48,6,13,56,43,44,Outstanding
100025,202,1,452,238,214,3,Mixed,2,Not applicable,52,47,2,12,50,48,38,Outstanding
100026,202,1,230,109,121,3,Mixed,2,Not applicable,47,52,3,7,22,77,12,Good
100027,202,1,236,111,125,3,Mixed,2,Not applicable,47,53,3,17,59,40,19,Outstanding
100028,202,2,192,96,96,3,Mixed,1,Church of England,50,50,0,6,47,52,5,Outstanding
100029,202,2,203,104,99,3,Mixed,1,Church of England,51,48,4,12,48,51,52,Good
100030,202,2,229,112,117,3,Mixed,1,Church of England,48,51,2,9,62,38,9,Good
100031,202,2,204,103,101,3,Mixed,1,Church of England,50,49,0,8,46,53,8,Good
100032,202,2,176,79,97,3,Mixed,1,Church of England,44,55,2,9,42,58,57,Good
100033,202,2,210,97,113,3,Mixed,1,Church of England,46,53,1,20,71,28,34,Good
100034,202,2,234,121,113,3,Mixed,1,Church of England,51,48,10,10,57,42,42,Outstanding
100035,202,2,322,155,167,3,Mixed,4,Roman Catholic,48,51,1,12,47,52,43,Good
100036,202,2,158,81,77,3,Mixed,1,Church of England,51,48,7,9,88,12,62,Good
100040,202,2,212,94,118,3,Mixed,1,Church of England,44,55,0,18,51,48,39,Outstanding
100041,202,2,176,86,90,3,Mixed,4,Roman Catholic,48,51,2,15,62,37,40,Good
100042,202,2,228,118,110,3,Mixed,1,Church of England,51,48,3,18,35,64,54,Outstanding
100043,202,2,204,90,114,3,Mixed,1,Church of England,44,55,1,16,60,39,64,Good
100045,202,2,160,84,76,3,Mixed,4,Roman Catholic,52,47,1,28,54,45,61,Good
100046,202,2,194,92,102,3,Mixed,1,Church of England,47,52,1,13,74,24,37,Good
100047,202,2,198,89,109,3,Mixed,4,Roman Catholic,44,55,3,14,50,50,45,Outstanding
100048,202,2,292,130,162,3,Mixed,4,Roman Catholic,44,55,3,16,54,45,70,Outstanding
100049,202,1,982,559,423,3,Mixed,2,Not applicable,56,43,2,19,41,57,69,Good
100050,202,1,1249,62,1187,2,Girls,2,Not applicable,5,95,1,13,65,34,37,Good
100051,202,1,1079,606,473,3,Mixed,2,Not applicable,56,43,3,17,32,67,65,Good
100052,202,1,1319,681,638,3,Mixed,2,Not applicable,51,48,2,9,61,38,51,Good
100053,202,1,1163,765,398,3,Mixed,2,Not applicable,65,34,7,12,70,28,39,Good
100054,202,2,1047,139,908,2,Girls,2,Not applicable,13,86,1,11,73,25,30,Good
100055,202,2,832,451,381,3,Mixed,4,Roman Catholic,54,45,2,11,48,51,56,Good
100056,202,2,904,798,106,1,Boys,2,Not applicable,88,11,3,16,61,37,48,Requires improvement
